study_id,author,year,T,N1,N2,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,fp12,fp13,fp14,fp15,fp16,fp17,fp18,fp19,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
1,Arora,2006,19,34,138,133,131,130,127,119,115,113,110,102,98,92,87,83,78,73,56,45,32,23,34,33,31,30,28,26,25,21,19,19,17,14,14,13,11,7,7,3,0,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,25,30,40,46
2,El Halawini,2003,4,42,7,7,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,19,17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Heffler,2006,17,30,18,18,18,18,18,14,14,14,11,11,10,9,9,8,8,7,5,5,NA,NA,29,26,20,16,15,14,12,11,8,7,6,4,4,3,1,1,0,NA,NA,10,15,20,25,30,34,36,40,45,50,55,60,65,75,80,85,100,NA,NA
4,Katsoulis,2013,6,64,48,39,35,31,24,24,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,33,26,16,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,20,25,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Kostikas,2008,6,86,63,54,43,33,31,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,29,13,13,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,19,20,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Linkosalo,2012,5,12,18,16,13,9,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,30,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Malinovschi,2012,7,63,45,41,35,23,18,16,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,23,11,7,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,20,25,30,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Malinovschi,2012,8,43,19,18,15,13,12,8,8,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,11,6,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,20,22,25,30,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Malinovschi,2012,8,80,32,25,18,18,14,8,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,22,14,10,6,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,17,20,25,30,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Sato,2008,5,23,48,47,46,42,38,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,18.5,27.4,38.8,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Schneider,2013,13,239,154,148,131,108,92,75,51,42,40,39,39,39,35,28,NA,NA,NA,NA,NA,NA,208,170,127,88,60,29,19,19,19,19,19,19,7,NA,NA,NA,NA,NA,NA,9,12,16,20,25,35,41,42,43,44,45,46,71,NA,NA,NA,NA,NA,NA
12,Sivan,2009,3,44,69,62,59,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Smith,2004,4,30,17,15,15,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Woo,2012,15,78,167,157,134,120,101,95,90,86,84,83,71,54,41,39,29,24,NA,NA,NA,NA,67,43,26,15,10,10,7,7,6,4,1,1,0,0,0,NA,NA,NA,NA,5,10,15,20,21,22,23,24,25,30,35,40,41,45,50,NA,NA,NA,NA
15,Schneider,2009,6,85,75,64,52,48,24,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,40,36,14,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,16,20,35,46,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Kowal,2009,10,362,178,178,172,162,156,127,115,110,102,84,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,222,107,59,34,18,10,8,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,30,40,50,60,70,80,90,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Cordeiro,2011,1,72,42,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Florentin,2014,1,159,19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Fortuna,2007,1,28,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Fukuhara,2011,1,19,42,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Giovannini,2014,1,21,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Pedrosa,2010,1,79,35,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Pizzimenti,2009,1,142,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Schleich,2012,1,92,82,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Smith,2005,2,25,27,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Voutilainen,2013,1,57,30,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Wang,2015,1,330,185,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Wang,2015,1,343,125,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Zhang,2011,1,67,39,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
